product_name,link,product_images,details
100% LINEN JACKET,https://www.zara.com/in/en/100-linen-jacket-p01437149.html,https://static.zara.net/photos///2023/I/0/2/p/1437/149/705/4/w/448/1437149705_1_1_1.jpg?ts=1690388263938,Jacket made of linen. Lapel collar and long sleeves with buttoned cuffs. Hip welt pockets. Elasticated hem. Button-up front.
100% LINEN WAISTCOAT,https://www.zara.com/in/en/100-linen-waistcoat-p07380677.html,https://static.zara.net/photos///2023/I/0/2/p/7380/677/658/2/w/448/7380677658_2_1_1.jpg?ts=1688114516227,Linen waistcoat. V-neckline and no sleeves. Welt pockets at the waist. Button-up front.
COTTON JACKET,https://www.zara.com/in/en/cotton-jacket-p00706301.html,https://static.zara.net/photos///2023/I/0/2/p/0706/301/500/2/w/448/0706301500_1_1_1.jpg?ts=1688481988150,Collared jacket with long sleeves and elasticated cuffs. Patch pockets at the hip. Elasticated hem. Fastens down the front with snap buttons.
FAUX SUEDE BOXY FIT JACKET,https://www.zara.com/in/en/faux-suede-boxy-fit-jacket-p03548304.html,https://static.zara.net/photos///2023/I/0/2/p/3548/304/802/2/w/448/3548304802_1_1_1.jpg?ts=1690962651631,Boxy fit collared jacket featuring long sleeves with buttoned cuffs. Flap pockets on the chest and welt pockets at the hip. Button-up front.
LIGHT PADDED JACKET,https://www.zara.com/in/en/light-padded-jacket-p08574661.html,https://static.zara.net/photos///2023/I/0/2/p/8574/661/712/2/w/448/8574661712_1_1_1.jpg?ts=1687445760715,Puffer jacket with a high neck and long sleeves. Hip pockets and an inside pocket detail. Front zip fastening.
LIGHTWEIGHT QUILTED GILET,https://www.zara.com/in/en/lightweight-quilted-gilet-p04302535.html,https://static.zara.net/photos///2023/I/0/2/p/4302/535/712/2/w/448/4302535712_1_1_1.jpg?ts=1686149515761,Gilet with a high neck. Hip welt pockets and a zip-up front.
SATIN BOMBER JACKET - LIMITED EDITION,https://www.zara.com/in/en/satin-bomber-jacket---limited-edition-p03833303.html,https://static.zara.net/photos///2023/I/0/2/p/3833/303/615/2/w/448/3833303615_1_1_1.jpg?ts=1689327629512,Varsity jacket with a slightly padded interior. Ribbed collar and long sleeves with elastic cuffs. Hip welt pockets and interior pocket detail. Adjustable hem with elastic. Front zip fastening.
PUFFER GILET- LIMITED EDITION,https://www.zara.com/in/en/puffer-gilet--limited-edition-p05320300.html,https://static.zara.net/photos///2023/I/0/2/p/5320/300/712/2/w/448/5320300712_1_1_1.jpg?ts=1689577314771,
RUBBERISED JACKET - LIMITED EDITION,https://www.zara.com/in/en/rubberised-jacket---limited-edition-p03918310.html,https://static.zara.net/photos///2023/I/0/2/p/3918/310/300/2/w/448/3918310300_1_1_1.jpg?ts=1689332809480,Jacket made of a fabric with a rubberised finish. Lapel collar in contrast corduroy fabric. Long sleeves featuring adjustable cuffs with tabs. Patch pockets with flaps on the hip and inner pocket detail. Adjustable hem with elastic at the sides. Front zip fastening hidden by a snap-button placket.View more
TECHNICAL JACKET - LIMITED EDITION,https://www.zara.com/in/en/technical-jacket---limited-edition-p08281319.html,https://static.zara.net/photos///2023/I/0/2/p/8281/319/400/2/w/448/8281319400_1_1_1.jpg?ts=1689327624982,Jacket with a high neck with adjustable drawstring and long sleeves with elasticated cuffs. Patch pockets with flaps at the hip. Adjustable hem with side drawstrings. Zip-up front hidden by a snap-button placket.
LIGHT PADDED JACKET,https://www.zara.com/in/en/light-padded-jacket-p04302520.html,https://static.zara.net/photos///2023/I/0/2/p/4302/520/711/2/w/448/4302520711_1_1_1.jpg?ts=1687331082060,Puffer jacket made of a technical fabric. High neck and long sleeves. Hip welt pockets. Elastic trims. Front zip fastening.
BOXY FIT JACKET WITH TOPSTITCHING,https://www.zara.com/in/en/boxy-fit-jacket-with-topstitching-p00706555.html,https://static.zara.net/photos///2023/I/0/2/p/0706/555/523/2/w/448/0706555523_1_1_1.jpg?ts=1691486099267,Collared boxy-fit jacket made of textured cotton. Long sleeves with buttoned cuffs. Patch pockets with flaps on the hip. Contrast topstitching detail all over the garment. Button-up front.
BOXY FIT TECHNICAL JACKET,https://www.zara.com/in/en/boxy-fit-technical-jacket-p09621640.html,https://static.zara.net/photos///2023/I/0/2/p/9621/640/933/2/w/448/9621640933_1_1_1.jpg?ts=1689763218025,Jacket made of lightweight technical fabric. High neck. Long sleeves with elasticated cuffs and adjustable tabs. Patch pockets with flaps on the hip. Zip-up front hidden by a snap-button placket.
LYOCELL JACKET,https://www.zara.com/in/en/lyocell-jacket-p05707453.html,https://static.zara.net/photos///2023/I/0/2/p/5707/453/800/2/w/448/5707453800_1_1_1.jpg?ts=1689763219982,Jacket made of lyocell. Lapel collar and long sleeves with buttoned cuffs. Patch pockets on the hip. Button-up front.
CROPPED BOMBER JACKET,https://www.zara.com/in/en/cropped-bomber-jacket-p00706571.html,https://static.zara.net/photos///2023/I/0/2/p/0706/571/707/2/w/448/0706571707_1_1_1.jpg?ts=1691587964012,Jacket made of a cotton blend fabric. High neck and long sleeves. Hip welt pockets. Ribbed trims. Cropped length. Zip-up front hidden by a snap-button placket.
REFLECTIVE EFFECT JACKET,https://www.zara.com/in/en/reflective-effect-jacket-p01732314.html,https://static.zara.net/photos///2023/I/0/2/p/1732/314/446/3/w/448/1732314446_1_1_1.jpg?ts=1693233018145,Jacket made of a very lightweight and reflective technical fabric.- High neck with stow-away hood on the inside.- Long sleeves with elastic cuffs.- Thermo-sealed inner seams.- Pocket with autolock zip fastening on the chest and hip pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more
TECHNICAL ANORAK WINDBREAKER,https://www.zara.com/in/en/technical-anorak-windbreaker-p01732312.html,https://static.zara.net/photos///2023/I/0/1/p/1732/312/700/612/w/448/1732312700_1_1_1.jpg?ts=1688385094142,Anorak windbreaker made of very lightweight technical fabric. - High neck with adjustable hood and autolock zip fastening at the front. - Long sleeves with elastic cuffs.- Pocket with a zip on the chest.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more
TECHNICAL WINDBREAKER JACKET,https://www.zara.com/in/en/technical-windbreaker-jacket-p01732313.html,https://static.zara.net/photos///2023/I/0/2/p/1732/313/737/2/w/448/1732313737_1_1_1.jpg?ts=1688986167858,Jacket made of very lightweight technical fabric. - High neck with adjustable hood. - Long sleeves featuring adjustable cuffs with tabs.- Hip welt pockets.- Adjustable hem with elastic at the sides.- Logo print on the front.Zara Athleticz.View more
LINEN - COTTON OVERSHIRT,https://www.zara.com/in/en/linen---cotton-overshirt-p02675478.html,https://static.zara.net/photos///2023/I/0/2/p/2675/478/052/2/w/448/2675478052_1_1_1.jpg?ts=1686730227679,Relaxed fit collared overshirt made of a linen and cotton blend fabric. Featuring long sleeves with buttoned cuffs. Hip flap pockets. Button-up front.
HOODED TECHNICAL JACKET,https://www.zara.com/in/en/hooded-technical-jacket-p04302413.html,https://static.zara.net/photos///2023/I/0/2/p/4302/413/251/2/w/448/4302413251_1_1_1.jpg?ts=1690535018558,Technical fabric jacket. High neck with adjustable hood. Long sleeves. Zip pockets on the chest and hip. Lining with mesh textured fabric. Elasticated trims. Zip-up front.
